Weight	Self Weight	Symbol Names
10.07 ms   0.0%	0 s	                        invocation function for block in mach_o::Header::getUuid(unsigned char*) const
10.07 ms   0.0%	0 s	                         completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
10.07 ms   0.0%	10.07 ms	                          invocation function for block in mach_o::Header::getUuid(unsigned char*) const
5.00 ms   0.0%	5.00 ms	                        mach_o::Header::getUuid(unsigned char*) const
5.00 ms   0.0%	0 s	                       mach_o::Header::forEachLoadCommand(void (load_command const*, bool&) block_pointer) const
5.00 ms   0.0%	5.00 ms	                        mach_o::Header::forEachLoadCommand(void (load_command const*, bool&) block_pointer) const
5.00 ms   0.0%	0 s	                       mach_o::Error::~Error()
5.00 ms   0.0%	5.00 ms	                        mach_o::Error::~Error()
5.00 ms   0.0%	5.00 ms	                       dyld4::APIs::_dyld_images_for_addresses(unsigned int, void const**, dyld_image_uuid_offset*)
69.79 µs   0.0%	0 s	                       _Block_object_dispose
69.79 µs   0.0%	0 s	                        completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
69.79 µs   0.0%	69.79 µs	                         _Block_object_dispose
5.27 ms   0.0%	5.27 ms	                      backtrace_image_offsets
5.05 ms   0.0%	0 s	                      <deduplicated_symbol>
5.05 ms   0.0%	0 s	                       completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
5.05 ms   0.0%	5.05 ms	                        <deduplicated_symbol>
63.38 µs   0.0%	0 s	                      <deduplicated_symbol>
63.38 µs   0.0%	0 s	                       completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
63.38 µs   0.0%	63.38 µs	                        <deduplicated_symbol>
20.87 ms   0.0%	0 s	                     uuid_copy
20.87 ms   0.0%	0 s	                      completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
20.87 ms   0.0%	20.87 ms	                       uuid_copy
5.00 ms   0.0%	0 s	                     _malloc_type_malloc_outlined
5.00 ms   0.0%	0 s	                      _malloc_zone_malloc_instrumented_or_legacy
5.00 ms   0.0%	5.00 ms	                       _malloc_zone_malloc_instrumented_or_legacy
109.04 µs   0.0%	0 s	                     _dyld_images_for_addresses
109.04 µs   0.0%	0 s	                      completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
109.04 µs   0.0%	109.04 µs	                       _dyld_images_for_addresses
10.06 ms   0.0%	0 s	                    thread_stack_async_pcs
10.00 ms   0.0%	0 s	                     __thread_stack_pcs
5.00 ms   0.0%	0 s	                      pthread_stack_frame_decode_np
5.00 ms   0.0%	0 s	                       completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
5.00 ms   0.0%	5.00 ms	                        pthread_stack_frame_decode_np
5.00 ms   0.0%	5.00 ms	                      __thread_stack_pcs
61.33 µs   0.0%	0 s	                     pthread_stack_frame_decode_np
61.33 µs   0.0%	0 s	                      completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
61.33 µs   0.0%	61.33 µs	                       pthread_stack_frame_decode_np
70.69 ms   0.0%	0 s	                   voucher_activity_trace_v_2
40.23 ms   0.0%	0 s	                    firehose_buffer_ring_enqueue
40.14 ms   0.0%	0 s	                     firehose_send_push_async
40.14 ms   0.0%	0 s	                      mach_msg
40.14 ms   0.0%	0 s	                       mach_msg_overwrite
40.14 ms   0.0%	0 s	                        mach_msg2_trap
40.14 ms   0.0%	0 s	                         completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
40.14 ms   0.0%	140.17 µs	                          mach_msg2_trap
40.00 ms   0.0%	0 s	                           0xfffffe000885b8d0 (kernel.release.t6031 +0x184f917) <4884B2A4-D648-3989-A74C-9F242960BE5B>
40.00 ms   0.0%	10.00 ms	                            0xfffffe0008a1fa64 (kernel.release.t6031 +0x1a13d2f) <4884B2A4-D648-3989-A74C-9F242960BE5B>
30.00 ms   0.0%	0 s	                             0xfffffe0008a19e44 (kernel.release.t6031 +0x1a0dfc3) <4884B2A4-D648-3989-A74C-9F242960BE5B>
30.00 ms   0.0%	0 s	                              0xfffffe000889b54c (kernel.release.t6031 +0x188f8fb) <4884B2A4-D648-3989-A74C-9F242960BE5B>
30.00 ms   0.0%	0 s	                               0xfffffe000889b18c (kernel.release.t6031 +0x188f2cf) <4884B2A4-D648-3989-A74C-9F242960BE5B>
30.00 ms   0.0%	5.00 ms	                                0xfffffe00088859f0 (kernel.release.t6031 +0x1879c07) <4884B2A4-D648-3989-A74C-9F242960BE5B>
25.00 ms   0.0%	0 s	                                 0xfffffe0008886618 (kernel.release.t6031 +0x187abe3) <4884B2A4-D648-3989-A74C-9F242960BE5B>
20.00 ms   0.0%	0 s	                                  0xfffffe0008e0e400 (kernel.release.t6031 +0x1e02513) <4884B2A4-D648-3989-A74C-9F242960BE5B>
15.00 ms   0.0%	0 s	                                   0xfffffe000888f984 (kernel.release.t6031 +0x1883a1b) <4884B2A4-D648-3989-A74C-9F242960BE5B>
10.00 ms   0.0%	0 s	                                    0xfffffe0008880bd4 (kernel.release.t6031 +0x1874c1b) <4884B2A4-D648-3989-A74C-9F242960BE5B>
5.00 ms   0.0%	5.00 ms	                                     0xfffffe0008897bd0 (kernel.release.t6031 +0x188bcbd) <4884B2A4-D648-3989-A74C-9F242960BE5B>
5.00 ms   0.0%	0 s	                                     0xfffffe00089490a8 (kernel.release.t6031 +0x193d0f7) <4884B2A4-D648-3989-A74C-9F242960BE5B>
5.00 ms   0.0%	5.00 ms	                                      0xfffffe0008897bd0 (kernel.release.t6031 +0x188bcbd) <4884B2A4-D648-3989-A74C-9F242960BE5B>
5.00 ms   0.0%	5.00 ms	                                    0xfffffe00089490a8 (kernel.release.t6031 +0x193d0f7) <4884B2A4-D648-3989-A74C-9F242960BE5B>
5.00 ms   0.0%	0 s	                                   0xfffffe0008e0de84 (kernel.release.t6031 +0x1e01fab) <4884B2A4-D648-3989-A74C-9F242960BE5B>
5.00 ms   0.0%	0 s	                                    0xfffffe0008e0dab8 (kernel.release.t6031 +0x1e01bd3) <4884B2A4-D648-3989-A74C-9F242960BE5B>
5.00 ms   0.0%	0 s	                                     0xfffffe0008de3f90 (kernel.release.t6031 +0x1dd8293) <4884B2A4-D648-3989-A74C-9F242960BE5B>
5.00 ms   0.0%	5.00 ms	                                      0xfffffe00089263ec (kernel.release.t6031 +0x191a4d9) <4884B2A4-D648-3989-A74C-9F242960BE5B>
5.00 ms   0.0%	5.00 ms	                                  0xfffffe0008925139 (kernel.release.t6031 +0x1919139) <4884B2A4-D648-3989-A74C-9F242960BE5B>
88.21 µs   0.0%	88.21 µs	                     firehose_buffer_ring_enqueue
15.07 ms   0.0%	0 s	                    firehose_buffer_tracepoint_reserve_slow
15.07 ms   0.0%	0 s	                     firehose_drain_notifications_once
15.00 ms   0.0%	0 s	                      mach_msg
15.00 ms   0.0%	0 s	                       mach_msg_overwrite
10.00 ms   0.0%	0 s	                        mach_msg2_trap
10.00 ms   0.0%	0 s	                         completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
10.00 ms   0.0%	0 s	                          mach_msg2_trap
10.00 ms   0.0%	0 s	                           0xfffffe000885b8d0 (kernel.release.t6031 +0x184f917) <4884B2A4-D648-3989-A74C-9F242960BE5B>
10.00 ms   0.0%	0 s	                            0xfffffe0008a1fa64 (kernel.release.t6031 +0x1a13d2f) <4884B2A4-D648-3989-A74C-9F242960BE5B>
10.00 ms   0.0%	0 s	                             0xfffffe0008a19e44 (kernel.release.t6031 +0x1a0dfc3) <4884B2A4-D648-3989-A74C-9F242960BE5B>
10.00 ms   0.0%	0 s	                              0xfffffe000889b54c (kernel.release.t6031 +0x188f8fb) <4884B2A4-D648-3989-A74C-9F242960BE5B>
5.00 ms   0.0%	5.00 ms	                               0xfffffe000889aadc (kernel.release.t6031 +0x188eddf) <4884B2A4-D648-3989-A74C-9F242960BE5B>
5.00 ms   0.0%	5.00 ms	                               0xfffffe00088f78d9 (kernel.release.t6031 +0x18eb8d9) <4884B2A4-D648-3989-A74C-9F242960BE5B>
5.00 ms   0.0%	0 s	                        mach_msg2_internal
5.00 ms   0.0%	5.00 ms	                         mach_msg2_internal
73.96 µs   0.0%	0 s	                      firehoseReply_server
73.96 µs   0.0%	0 s	                       _Xpush_notify_async
73.96 µs   0.0%	0 s	                        firehose_client_merge_updates
73.96 µs   0.0%	0 s	                         completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
73.96 µs   0.0%	73.96 µs	                          firehose_client_merge_updates
8.81 ms   0.0%	0 s	                    __ulock_wait
8.81 ms   0.0%	0 s	                     completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
8.81 ms   0.0%	0 s	                      __ulock_wait
6.71 ms   0.0%	0 s	                       0xfffffe0008e890e4 (kernel.release.t6031 +0x1e7d1e3) <4884B2A4-D648-3989-A74C-9F242960BE5B>
6.71 ms   0.0%	6.71 ms	                        0xfffffe0008e891e4 (kernel.release.t6031 +0x1e7d1e5) <4884B2A4-D648-3989-A74C-9F242960BE5B>
2.10 ms   0.0%	0 s	                       0xfffffe000885b8d0 (kernel.release.t6031 +0x184f917) <4884B2A4-D648-3989-A74C-9F242960BE5B>
2.10 ms   0.0%	0 s	                        0xfffffe0008a1fa64 (kernel.release.t6031 +0x1a13d2f) <4884B2A4-D648-3989-A74C-9F242960BE5B>
2.10 ms   0.0%	0 s	                         0xfffffe0008fb274c (kernel.release.t6031 +0x1fa6a4f) <4884B2A4-D648-3989-A74C-9F242960BE5B>
2.10 ms   0.0%	0 s	                          0xfffffe0008e883d0 (kernel.release.t6031 +0x1e7c40b) <4884B2A4-D648-3989-A74C-9F242960BE5B>
2.10 ms   0.0%	0 s	                           0xfffffe0008e88ba8 (kernel.release.t6031 +0x1e7cba8) <4884B2A4-D648-3989-A74C-9F242960BE5B>
2.10 ms   0.0%	0 s	                            0xfffffe00088f765c (kernel.release.t6031 +0x18eb670) <4884B2A4-D648-3989-A74C-9F242960BE5B>
2.10 ms   0.0%	0 s	                             0xfffffe00088e3228 (kernel.release.t6031 +0x18d7319) <4884B2A4-D648-3989-A74C-9F242960BE5B>
2.10 ms   0.0%	2.10 ms	                              0xfffffe00088e42a0 (kernel.release.t6031 +0x18d8829) <4884B2A4-D648-3989-A74C-9F242960BE5B>
5.22 ms   0.0%	0 s	                    firehose_buffer_stream_chunk_install
5.00 ms   0.0%	0 s	                     __ulock_wake
5.00 ms   0.0%	0 s	                      completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
5.00 ms   0.0%	5.00 ms	                       __ulock_wake
220.42 µs   0.0%	220.42 µs	                     firehose_buffer_stream_chunk_install
832.92 µs   0.0%	0 s	                    _platform_memset
832.92 µs   0.0%	0 s	                     completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
832.92 µs   0.0%	832.92 µs	                      _platform_memset
525.58 µs   0.0%	525.58 µs	                    voucher_activity_trace_v_2
23.59 ms   0.0%	0 s	                   os_log_backtrace_serialize_to_blob
16.20 ms   0.0%	16.20 ms	                    os_log_backtrace_serialize_to_blob
5.00 ms   0.0%	0 s	                    uuid_compare
5.00 ms   0.0%	5.00 ms	                     uuid_compare
2.39 ms   0.0%	0 s	                    uuid_unpack
2.39 ms   0.0%	0 s	                     completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
2.39 ms   0.0%	2.39 ms	                      uuid_unpack
6.27 ms   0.0%	0 s	                   mach_continuous_time
6.27 ms   0.0%	6.27 ms	                    mach_continuous_time
5.08 ms   0.0%	0 s	                   os_log_backtrace_create_from_pcs
5.00 ms   0.0%	0 s	                    completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
5.00 ms   0.0%	5.00 ms	                     os_log_backtrace_create_from_pcs
75.00 µs   0.0%	75.00 µs	                    os_log_backtrace_create_from_pcs
5.00 ms   0.0%	0 s	                   zone_free_definite_size
5.00 ms   0.0%	5.00 ms	                    zone_free_definite_size
1.34 ms   0.0%	0 s	                   _platform_memmove
1.34 ms   0.0%	0 s	                    completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
1.34 ms   0.0%	1.34 ms	                     _platform_memmove
844.83 µs   0.0%	0 s	                   DYLD-STUB$$uuid_compare
