Weight	Self Weight	Symbol Names
112.83 µs   0.0%	112.83 µs	                            invocation function for block in mach_o::Header::forEachSegment(void (mach_o::Header::SegmentInfo const&, bool&) block_pointer) const
10.00 ms   0.0%	10.00 ms	                        dyld4::APIs::findImageMappedAt(void const*, dyld3::MachOLoaded const**, bool*, char const**, void const**, unsigned long long*, unsigned char*, dyld4::Loader const**)
58.62 µs   0.0%	0 s	                        mach_o::Header::preferredLoadAddress() const
58.62 µs   0.0%	58.62 µs	                         mach_o::Header::preferredLoadAddress() const
40.07 ms   0.0%	0 s	                       mach_o::Header::getUuid(unsigned char*) const
35.07 ms   0.0%	0 s	                        mach_o::Header::forEachLoadCommand(void (load_command const*, bool&) block_pointer) const
35.07 ms   0.0%	35.07 ms	                         mach_o::Header::forEachLoadCommand(void (load_command const*, bool&) block_pointer) const
5.00 ms   0.0%	0 s	                        invocation function for block in mach_o::Header::getUuid(unsigned char*) const
5.00 ms   0.0%	0 s	                         completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
5.00 ms   0.0%	5.00 ms	                          invocation function for block in mach_o::Header::getUuid(unsigned char*) const
10.00 ms   0.0%	10.00 ms	                       dyld4::APIs::_dyld_images_for_addresses(unsigned int, void const**, dyld_image_uuid_offset*)
5.00 ms   0.0%	0 s	                       mach_o::Header::forEachLoadCommand(void (load_command const*, bool&) block_pointer) const
5.00 ms   0.0%	5.00 ms	                        mach_o::Header::forEachLoadCommand(void (load_command const*, bool&) block_pointer) const
5.00 ms   0.0%	0 s	                       mach_o::Error::~Error()
5.00 ms   0.0%	5.00 ms	                        mach_o::Error::~Error()
10.31 ms   0.0%	10.31 ms	                      backtrace_image_offsets
10.09 ms   0.0%	0 s	                      <deduplicated_symbol>
10.09 ms   0.0%	0 s	                       completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
10.09 ms   0.0%	10.09 ms	                        <deduplicated_symbol>
5.00 ms   0.0%	0 s	                      mach_o::Header::getUuid(unsigned char*) const
5.00 ms   0.0%	0 s	                       completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
5.00 ms   0.0%	5.00 ms	                        mach_o::Header::getUuid(unsigned char*) const
17.06 ms   0.0%	0 s	                     uuid_copy
17.06 ms   0.0%	0 s	                      completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
17.06 ms   0.0%	17.06 ms	                       uuid_copy
53.46 µs   0.0%	0 s	                     dyld4::APIs::_dyld_images_for_addresses(unsigned int, void const**, dyld_image_uuid_offset*)
53.46 µs   0.0%	0 s	                      completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
53.46 µs   0.0%	53.46 µs	                       dyld4::APIs::_dyld_images_for_addresses(unsigned int, void const**, dyld_image_uuid_offset*)
19.21 µs   0.0%	0 s	                     _dyld_images_for_addresses
19.21 µs   0.0%	0 s	                      completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
19.21 µs   0.0%	19.21 µs	                       _dyld_images_for_addresses
15.11 ms   0.0%	0 s	                    thread_stack_async_pcs
10.00 ms   0.0%	0 s	                     __thread_stack_pcs
10.00 ms   0.0%	10.00 ms	                      __thread_stack_pcs
5.00 ms   0.0%	0 s	                     DYLD-STUB$$pthread_get_stacksize_np
5.00 ms   0.0%	0 s	                      completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
5.00 ms   0.0%	5.00 ms	                       DYLD-STUB$$pthread_get_stacksize_np
57.21 µs   0.0%	0 s	                     pthread_get_stacksize_np
57.21 µs   0.0%	0 s	                      completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
57.21 µs   0.0%	57.21 µs	                       pthread_get_stacksize_np
55.83 µs   0.0%	0 s	                     DYLD-STUB$$pthread_self
55.83 µs   0.0%	0 s	                      completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
55.83 µs   0.0%	55.83 µs	                       DYLD-STUB$$pthread_self
5.00 ms   0.0%	5.00 ms	                    os_log_backtrace_create_from_return_address
66.35 ms   0.0%	0 s	                   voucher_activity_trace_v_2
35.98 ms   0.0%	0 s	                    __ulock_wait
35.98 ms   0.0%	0 s	                     completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
35.98 ms   0.0%	0 s	                      __ulock_wait
27.57 ms   0.0%	0 s	                       0xfffffe0008e890e4 (kernel.release.t6031 +0x1e7d1e3) <4884B2A4-D648-3989-A74C-9F242960BE5B>
27.57 ms   0.0%	27.57 ms	                        0xfffffe0008e891e4 (kernel.release.t6031 +0x1e7d1e5) <4884B2A4-D648-3989-A74C-9F242960BE5B>
8.41 ms   0.0%	0 s	                       0xfffffe000885b8d0 (kernel.release.t6031 +0x184f917) <4884B2A4-D648-3989-A74C-9F242960BE5B>
8.41 ms   0.0%	0 s	                        0xfffffe0008a1fa64 (kernel.release.t6031 +0x1a13d2f) <4884B2A4-D648-3989-A74C-9F242960BE5B>
8.41 ms   0.0%	0 s	                         0xfffffe0008fb274c (kernel.release.t6031 +0x1fa6a4f) <4884B2A4-D648-3989-A74C-9F242960BE5B>
8.41 ms   0.0%	0 s	                          0xfffffe0008e883d0 (kernel.release.t6031 +0x1e7c40b) <4884B2A4-D648-3989-A74C-9F242960BE5B>
8.41 ms   0.0%	0 s	                           0xfffffe0008e88ba8 (kernel.release.t6031 +0x1e7cba8) <4884B2A4-D648-3989-A74C-9F242960BE5B>
5.00 ms   0.0%	5.00 ms	                            0xfffffe00088f7698 (kernel.release.t6031 +0x18eb717) <4884B2A4-D648-3989-A74C-9F242960BE5B>
3.41 ms   0.0%	0 s	                            0xfffffe00088f765c (kernel.release.t6031 +0x18eb66f) <4884B2A4-D648-3989-A74C-9F242960BE5B>
3.41 ms   0.0%	0 s	                             0xfffffe00088e3228 (kernel.release.t6031 +0x18d7317) <4884B2A4-D648-3989-A74C-9F242960BE5B>
3.41 ms   0.0%	3.41 ms	                              0xfffffe00088e42a0 (kernel.release.t6031 +0x18d8829) <4884B2A4-D648-3989-A74C-9F242960BE5B>
20.15 ms   0.0%	0 s	                    firehose_buffer_ring_enqueue
20.07 ms   0.0%	0 s	                     firehose_send_push_async
20.07 ms   0.0%	0 s	                      mach_msg
20.07 ms   0.0%	0 s	                       mach_msg_overwrite
20.07 ms   0.0%	0 s	                        mach_msg2_trap
