Weight	Self Weight	Symbol Names
10.00 ms   0.0%	0 s	            completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
10.00 ms   0.0%	10.00 ms	             swift_release
5.01 ms   0.0%	0 s	           _ArrayBuffer._typeCheck(_:)
5.00 ms   0.0%	5.00 ms	            _ArrayBuffer._typeCheck(_:)
12.12 µs   0.0%	0 s	            completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
12.12 µs   0.0%	12.12 µs	             _ArrayBuffer._typeCheck(_:)
5.00 ms   0.0%	0 s	           swift_bridgeObjectRelease
5.00 ms   0.0%	0 s	            completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
5.00 ms   0.0%	5.00 ms	             swift_bridgeObjectRelease
5.00 ms   0.0%	0 s	           UnsafeMutablePointer.initialize(from:count:)
5.00 ms   0.0%	0 s	            completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
5.00 ms   0.0%	5.00 ms	             UnsafeMutablePointer.initialize(from:count:)
50.04 ms   0.0%	50.04 ms	          Array.append<A>(contentsOf:)
35.00 ms   0.0%	0 s	          protocol witness for Sequence.underestimatedCount.getter in conformance [A]
35.00 ms   0.0%	0 s	           swift::_getWitnessTable(swift::TargetProtocolConformanceDescriptor<swift::InProcess> const*, swift::TargetMetadata<swift::InProcess> const*, void const* const*)
35.00 ms   0.0%	35.00 ms	            swift::_getWitnessTable(swift::TargetProtocolConformanceDescriptor<swift::InProcess> const*, swift::TargetMetadata<swift::InProcess> const*, void const* const*)
25.04 ms   0.0%	0 s	          _swift_isClassOrObjCExistentialType
25.04 ms   0.0%	0 s	           completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
25.04 ms   0.0%	25.04 ms	            _swift_isClassOrObjCExistentialType
20.04 ms   0.0%	0 s	          protocol witness for Sequence._copyContents(initializing:) in conformance _ArrayBuffer<A>
10.04 ms   0.0%	0 s	           Array._copyContents(initializing:)
10.04 ms   0.0%	0 s	            _swift_isClassOrObjCExistentialType
10.04 ms   0.0%	0 s	             completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
10.04 ms   0.0%	10.04 ms	              _swift_isClassOrObjCExistentialType
5.00 ms   0.0%	0 s	           _ArrayBuffer.count.getter
5.00 ms   0.0%	5.00 ms	            _ArrayBuffer.count.getter
5.00 ms   0.0%	5.00 ms	           protocol witness for Sequence._copyContents(initializing:) in conformance _ArrayBuffer<A>
20.00 ms   0.0%	0 s	          swift_getCanonicalPrespecializedGenericMetadata
20.00 ms   0.0%	0 s	           completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
20.00 ms   0.0%	20.00 ms	            swift_getCanonicalPrespecializedGenericMetadata
15.01 ms   0.0%	0 s	          destroy for IndexingIterator
15.01 ms   0.0%	15.01 ms	           destroy for IndexingIterator
15.00 ms   0.0%	0 s	          _ArrayBuffer.count.getter
15.00 ms   0.0%	15.00 ms	           _ArrayBuffer.count.getter
15.00 ms   0.0%	0 s	          swift_bridgeObjectRetain
15.00 ms   0.0%	0 s	           completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
